Designator,Comment,Footprint,JLCPCB Part #,Matches,Part #,Manufacturer,Footprint (Matched),Description,Category,Warning,JLCPCB Part # (Matched),Product Link,Lib Type,Qty,Source,Total Price ($)
"C1,C6,C7,C8,C23",1uF,C0402,,Select by System,CL05A105KA5NQNC,Samsung Electro-Mechanics,0402,1uF 25V X5R ±10% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,Multilayer Ceramic Capacitors MLCC - SMD/SMT,,C52923,https://jlcpcb.com/partdetail/53938-CL05A105KA5NQNC/C52923,Basic,25,25 JLCPCB,0.4
"C2,C4",27pF,C0201,,Select by Customer,CL05C270JB5NNNC,Samsung Electro-Mechanics,0402,27pF 50V C0G ±5% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,Multilayer Ceramic Capacitors MLCC - SMD/SMT,,C86287,https://jlcpcb.com/partdetail/87463-CL05C270JB5NNNC/C86287,Extended,20,20 JLCPCB,0.184
"C3,C12,C16,C19",10uF,C1206,,Select by System,CL31B106KOHNFNE,Samsung Electro-Mechanics,1206,1206 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,,,C16195882,https://jlcpcb.com/partdetail/17320959-CL31B106KOHNFNE/C16195882,Extended,24,24 JLCPCB,6.132
"C9,C10,C11",100nF,C0402,,Select by System,CL05B104KB54PNC,Samsung Electro-Mechanics,0402,100nF 50V X7R ±10% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,Multilayer Ceramic Capacitors MLCC - SMD/SMT,,C307331,https://jlcpcb.com/partdetail/291005-CL05B104KB54PNC/C307331,Basic,15,15 JLCPCB,0.15
D1,BAT54SHMT116,SOT-23-3_L3.0-W1.6-P1.90-LS2.8-BR,,Select by Customer,BAT54S,KEXIN,SOT-23,1 Pair Series Connection 200mA 2uA@25V 30V 600mA 800mV@100mA SOT-23 Schottky Diodes ROHS,Schottky Diodes,,C369929,https://jlcpcb.com/partdetail/KEXIN-BAT54S/C369929,Extended,10,10 JLCPCB,0.175
"D2,D3,D4,D5,D6,D7",TPD2EUSB30DRTR-TP-ES,SOT-723-3_L1.2-W0.8-P0.80-LS1.2-BR,,Select by System,TPD2EUSB30DRTR-TP-ES,ElecSuper,SOT-723,0.6pF 18V 1uA 2 4A@8/20us 5V 72W@8/20us 9V IEC 61000-4-2 TVS Unidirectional SOT-723 ESD and Surge Protection (TVS/ESD) ROHS,ESD And Surge Protection (TVS/ESD),,C22379610,https://jlcpcb.com/partdetail/ElecSuper-TPD2EUSB30DRTR_TPES/C22379610,Extended,34,34 JLCPCB,2.04
"R1,R2,R3,R4,R5,R6,R7,R9,R10",10kΩ,R0402,,Select by Customer,0402WGF1002TCE,UNI-ROYAL(Uniroyal Elec),0402,-55℃~+155℃ 10kΩ 50V 62.5mW Thick Film Resistor ±1% ±100ppm/℃ 0402 Chip Resistor - Surface Mount ROHS,Chip Resistor - Surface Mount,,C25744,https://jlcpcb.com/partdetail/26487-0402WGF1002TCE/C25744,Basic,45,45 JLCPCB,0.342
"R8,R11,R14,R16",24kΩ,R0805,,Select by System,SCR0805J24K,VO,0805,-55℃~+155℃ 125mW 150V 24kΩ Thick Film Resistor ±200ppm/℃ ±5% 0805 Chip Resistor - Surface Mount ROHS,Chip Resistor - Surface Mount,,C3017863,https://jlcpcb.com/partdetail/VO-SCR0805J24K/C3017863,Extended,30,30 JLCPCB,0.048
"R15,R17,R18,R19",5.1kΩ,R0402,,Select by Customer,0402WGF5101TCE,UNI-ROYAL(Uniroyal Elec),0402,-55℃~+155℃ 5.1kΩ 50V 62.5mW Thick Film Resistor ±1% ±100ppm/℃ 0402 Chip Resistor - Surface Mount ROHS,Chip Resistor - Surface Mount,,C25905,https://jlcpcb.com/partdetail/26648-0402WGF5101TCE/C25905,Basic,20,20 JLCPCB,0.136
U1,SL2.1s,SSOP-16_L4.6-W2.6-P0.53-LS4.0-BL,,Select by System,SL2.1s,CoreChips,SSOP-16,0℃~+70℃ 120mA 2.5mA 4 4V~5.25V Hub USB 2.0 SSOP-16 USB HUB Controllers ROHS,USB Converters,,C2684433,https://jlcpcb.com/partdetail/CoreChips-SL21s/C2684433,Extended,5,5 JLCPCB,1.2185
"U2,U7,U10,U13",TPS2553QDBVRQ1,SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BL,,Select by Customer,TPS2553DBVR,Texas Instruments,SOT-23-6,-40℃~+150℃ 1 1.5A 2.5V~6.5V 85mΩ Active High High Side Switch 过压保护、软启动、欠压锁定、反向电压保护、集成电荷泵、Overcurrent Protection、Over temperature protection、锁存保护、Short-Circuit Protection SOT-23-6 Power Distribution Switches ROHS,Power Distribution Switches,,C55266,https://jlcpcb.com/partdetail/TexasInstruments-TPS2553DBVR/C55266,Extended,20,20 JLCPCB,9.114
"U3,U4,U5,U6,U8",ST-0-102-A01-T000-LF,SW-TH_3P-L8.3-W5.2-P2.54_ST-0-102-A01-T000,,Select by System,ST-0-102-A01-T000-LF,YUEN FUNG,"插件,8.3x5.2mm","-25℃~+85℃ 125V 23.6mm 3A 5.2mm 8.3mm Cylinder Lever PC Pin SPDT Through Hole 插件,8.3x5.2mm Toggle Switches ROHS",Toggle Switches,,C1788487,https://jlcpcb.com/partdetail/YUENFUNG-ST_0_102_A01_T000LF/C1788487,Extended,25,25 JLCPCB,13.015
U14,TPS2116DRLR,SOT-583-8_L2.1-W1.6-P0.50-LS1.6-BL,,Select by System,TPS2116DRLR,Texas Instruments,SOT-583,Operating status indication SOT-583 Power Management - Specialized ROHS,Power Distribution Switches,,C3235557,https://jlcpcb.com/partdetail/TexasInstruments-TPS2116DRLR/C3235557,Extended,5,5 JLCPCB,2.2635
U19,TS3USB221,UQFN-10_L2.0-W1.5-P0.50-BL,,Select by Customer,TS3USB221RSER,Texas Instruments,UQFN-10(1.5x2),-40℃~+85℃ 1.1GHz 10ns 17ns 2.3V~3.6V 250ps 6pF 6Ω USB UQFN-10(1.5x2) Analog Switches - Special Purpose ROHS,Analog Switches - Special Purpose,,C130085,https://jlcpcb.com/partdetail/TexasInstruments-TS3USB221RSER/C130085,Extended,5,5 JLCPCB,1.8545
